adduct,mz,rt QE,name,Formula
M+H-NH3,109.076,0.61,3-METHYLHISTAMINE-NH3,C6H11N3
M+H,227.0662,6.97,3-NITRO-L-TYROSINE,C9H10N2O5
M+H-NH3,210.0397,6.97,3-NITRO-L-TYROSINE-NH3,C9H10N2O5
M+H,375.28888,12.438,3-OXO-5-BETA-CHOLANATE,C24H38O3
M+H-H2O,168.9897,0.87,3-PHOSPHOGLYCERIC ACID-H2O,C3H7O7P
M+H,154.0169,0.72,3-SULFINO-L-ALANINE,C3H7NO4S
M+Na,175.9988,0.72,3-SULFINO-L-ALANINE+Na,C3H7NO4S
M+H-H2O,136.0063,0.72,3-SULFINO-L-ALANINE-H2O,C3H7NO4S
M+H,133.0608,1.25,3-UREIDOPROPIONATE,C4H8N2O3
M+Na,155.0427,1.25,3-UREIDOPROPIONATE+Na,C4H8N2O3
M+H-H2O,115.0502,1.25,3-UREIDOPROPIONATE-H2O,C4H8N2O3
M+H,146.0812,3.54,4-ACETAMIDOBUTANOATE,C6H11NO3
M+Na,168.0631,3.54,4-ACETAMIDOBUTANOATE+Na,C6H11NO3
M+H-H2O,128.0706,3.54,4-ACETAMIDOBUTANOATE-H2O,C6H11NO3
M+H,146.0812,3.51,4-ACETAMIDOBUTYRATE,C6H11NO3
M+H,138.055,8.73,4-AMINOBENZOATE,C7H7NO2
M+H,138.055,8.01,4-AMINOBENZOATE,C7H7NO2
M+H-H2O,120.0444,8.73,4-AMINOBENZOATE-H2O,C7H7NO2
M+H,104.0706,0.78,4-AMINOBUTANOATE (GABA),C4H9NO2
M+Na,126.0525,0.78,4-AMINOBUTANOATE (GABA)+Na,C4H9NO2
M+H-H2O,86.06,0.78,4-AMINOBUTANOATE (GABA)-H2O,C4H9NO2
M+H-NH3,87.0441,0.78,4-AMINOBUTANOATE (GABA)-NH3,C4H9NO2
M+H,195.07699,4.74,4-Aminohippuric Acid,C9H10N2O3
M+H,165.0546,9.06,4-COUMARATE,C9H8O3
M+H-H2O,147.0441,9.06,4-COUMARATE-H2O,C9H8O3
M+H,146.0924,1.59,4-GUANIDINOBUTANOATE,C5H11N3O2
M+Na,168.0743,1.59,4-GUANIDINOBUTANOATE+Na,C5H11N3O2
M+H-H2O,128.0818,1.59,4-GUANIDINOBUTANOATE-H2O,C5H11N3O2
M+H,190.0499,7.79,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,C10H7NO3
M+Na,212.0318,7.79,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID+Na,C10H7NO3
M+Na,207.0628,6.07,4-HYDROXY-3-METHOXYPHENYLGLYCOL+Na,C9H12O4
M+H-H2O,167.0703,6.07,4-HYDROXY-3-METHOXYPHENYLGLYCOL-H2O,C9H12O4
M+H,359.1124,13,"4'-Hydroxy-5,6,7,8-tetramethoxyflavone",C19H18O7
M+H,123.0441,8.66,4-HYDROXYBENZALDEHYDE,C7H6O2
M+H-H2O,105.0335,8.03,4-HYDROXYBENZALDEHYDE-H2O,C7H6O2
M+H,139.039,8.03,4-HYDROXYBENZOATE,C7H6O3
M+H,168.0655,0.84,4-HYDROXY-L-PHENYLGLYCINE,C8H9NO3
M+Na,190.0475,0.84,4-HYDROXY-L-PHENYLGLYCINE+Na,C8H9NO3
M+H-NH3,151.039,0.84,4-HYDROXY-L-PHENYLGLYCINE-NH3,C8H9NO3
M+H,132.0655,0.73,4-HYDROXY-L-PROLINE,C5H9NO3
M+Na,154.0475,0.73,4-HYDROXY-L-PROLINE+Na,C5H9NO3
M+H,153.05519,9.37,4-HYDROXYPHENYLACETATE,C8H8O3
M+H,127.0502,0.96,4-IMIDAZOLEACETIC ACID,C5H6N2O2
M+Na,149.0321,0.96,4-IMIDAZOLEACETIC ACID+Na,C5H6N2O2
M+H,185.0447,7.198,4-O-METHYLGALLIC ACID,C8H8O5
M+H,184.0604,5.61,4-PYRIDOXATE,C8H9NO4
M+Na,206.0424,5.61,4-PYRIDOXATE+Na,C8H9NO4
M+H-H2O,166.0499,5.61,4-PYRIDOXATE-H2O,C8H9NO4
M+H,174.055,3.45,4-QUINOLINECARBOXYLIC ACID,C10H7NO2
M+Na,196.0369,3.45,4-QUINOLINECARBOXYLIC ACID+Na,C10H7NO2
M+H,209.0787,7.024,5-(DIHYDROXYPHENYL)-GAMMA-VALEROLACTONE,C11H12O4
M+H,115.0502,1.35,"5,6-DIHYDROURACIL",C4H6N2O2
M+H,339.07,1.47,5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE,C9H15N4O8P
M+Na,361.052,1.47,5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE+Na,C9H15N4O8P
M+H,132.0655,0.84,5-AMINOLEVULINIC ACID,C5H9NO3
M+Na,154.0475,0.84,5-AMINOLEVULINIC ACID+Na,C5H9NO3
M+H-H2O,114.055,0.84,5-AMINOLEVULINIC ACID-H2O,C5H9NO3
M+H-NH3,101.0597,1.12,5-AMINOPENTANOATE-NH3,C5H11NO2
M+H,252.1091,6.6,5'-DEOXYADENOSINE,C10H13N5O3
M+Na,274.0911,6.6,5'-DEOXYADENOSINE+Na,C10H13N5O3
M+H,192.0655,8.3,5-HYDROXYINDOLEACETATE,C10H9NO3
M+H,221.0921,6.67,5-HYDROXY-L-TRYPTOPHAN,C11H12N2O3
M+Na,243.074,6.67,5-HYDROXY-L-TRYPTOPHAN+Na,C11H12N2O3
M+H-NH3,204.0655,6.67,5-HYDROXY-L-TRYPTOPHAN-NH3,C11H12N2O3
