adduct,mz,rt QE,name,Formula,
M-3H,218.9465,0.59,PHYTIC ACID,C6H18O24P6,
M-H,140.0829,0.62,L-HISTIDINOL,C6H11N3O,
M+Cl,176.0596,0.62,L-HISTIDINOL+Cl,C6H11N3O,
M+FA-H,186.0884,0.62,L-HISTIDINOL+FA,C6H11N3O,
M-H,161.0932,0.63,DL-5-HYDROXYLYSINE,C6H14N2O3,
M-H,131.0826,0.63,D-ORNITHINE,C5H12N2O2,
M-H,103.0513,0.63,"L-2,3-DIAMINOPROPIONIC ACID",C3H8N2O2,
M-H,131.0826,0.63,L-ORNITHINE,C5H12N2O2,
M-H,145.0983,0.64,L-LYSINE,C6H14N2O2,
M+Cl,214.0488,0.66,D-GALACTOSAMINE+Cl,C6H13NO5,
M+FA-H,224.0776,0.66,D-GALACTOSAMINE+FA,C6H13NO5,
M-H-[-H2O],160.0615,0.66,D-GALACTOSAMINE-H2O,C6H13NO5,
M-H-[-H2O],160.0615,0.66,D-GLUCOSAMINE,C6H13NO5,
M+Cl,214.0488,0.66,D-GLUCOSAMINE+Cl,C6H13NO5,
M+FA-H,224.0776,0.66,D-GLUCOSAMINE+FA,C6H13NO5,
M-H,154.0622,0.67,L-HISTIDINE,C6H9N3O2,
M+Na-2H,176.0441,0.67,L-HISTIDINE+Na,C6H9N3O2,
M+Cl,214.0488,0.68,D-MANNOSAMINE,C6H13NO5,
M+FA-H,224.0776,0.68,D-MANNOSAMINE,C6H13NO5,
M-H,178.0721,0.68,D-MANNOSAMINE,C6H13NO5,
M-H-[-H2O],160.0615,0.68,D-MANNOSAMINE,C6H13NO5,
M+K-2H,259.016,0.68,L-CYSTATHIONINE,C7H14N2O4S,
M+Na-2H,243.0421,0.68,L-CYSTATHIONINE,C7H14N2O4S,
M-H,221.0602,0.68,L-CYSTATHIONINE,C7H14N2O4S,
M-H,120.0125,0.68,L-CYSTEINE,C3H7NO2S,
M-H,189.0881,0.68,"LL-2,6-DIAMINOHEPTANEDIOATE",C7H14N2O4,
M+K-2H,227.044,0.68,"LL-2,6-DIAMINOHEPTANEDIOATE+K",C7H14N2O4,
M+Na-2H,211.07,0.68,"LL-2,6-DIAMINOHEPTANEDIOATE+Na",C7H14N2O4,
,231.0987,0.68,MYO-INOSITOL D6,C6D6H6O6,
M-H,124.0169,0.69,(2-AMINOETHYL)PHOSPHONATE,C2H8NO3P,
M+Cl,159.9936,0.69,(2-AMINOETHYL)PHOSPHONATE+Cl,C2H8NO3P,
M+FA-H,170.0224,0.69,(2-AMINOETHYL)PHOSPHONATE+FA,C2H8NO3P,
M-H,140.0118,0.69,2-AMINOETHYL DIHYDROGEN PHOSPHATE,C2H8NO4P,
M+Cl,175.9885,0.69,2-AMINOETHYL DIHYDROGEN PHOSPHATE+Cl,C2H8NO4P,
M+Na-2H,161.9938,0.69,2-AMINOETHYL DIHYDROGEN PHOSPHATE+Na,C2H8NO4P,
M-H,140.0118,0.69,ETHANOLAMINE PHOSPHATE,C2H8NO4P,
M+Cl,175.9885,0.69,ETHANOLAMINE PHOSPHATE+Cl,C2H8NO4P,
M+Na-2H,161.9938,0.69,ETHANOLAMINE PHOSPHATE+Na,C2H8NO4P,
M-H,194.067,0.69,GLUCOSAMINATE,C6H13NO6,
M+Cl,209.0811,0.69,L-ARGININE+Cl,C6H14N4O2,
M-H,173.1044,0.69,L-ARGININE,C6H14N4O2,
M-H,239.0166,0.69,L-CYSTINE,C6H12N2O4S2,
M+Na-2H,260.9985,0.69,L-CYSTINE+Na,C6H12N2O4S2,
M-H,104.0353,0.69,L-SERINE,C3H7NO3,
M-H-[-H2O],161.0455,0.7,D-FRUCTOSE-H2O,C6H12O6,
,199.0007,0.7,ERYTHROSE 4-PHOSPHATE,C4H9O7P,
,338.9883,0.7,"FRUCTOSE 1,6-BISPHOSPHATE",C6H14O12P2,
,360.9702,0.7,"FRUCTOSE 1,6-BISPHOSPHATE-2H+NA",C6H14O12P2,
,257.0063,0.7,GLUCOSE 6-PHOSPHATE/FRUCTOSE 6-PHOSPHATE,C6H13O9P,
M-H,108.0125,0.7,HYPOTAURINE,C2H7NO2S,
M-H,131.0462,0.7,L-ASPARAGINE,C4H8N2O3,
M+Cl,167.0229,0.7,L-ASPARAGINE+Cl,C4H8N2O3,
M+Na-2H,153.0282,0.7,L-ASPARAGINE+Na,C4H8N2O3,
M-H-[-H2O],113.0357,0.7,L-ASPARAGINE-H2O,C4H8N2O3,
M-H,179.0496,0.7,L-METHIONINE SULFOXIMINE,C5H12N2O3S,
M+Cl,215.0263,0.7,L-METHIONINE SULFOXIMINE+Cl,C5H12N2O3S,
M-H,179.0561,0.7,L-SORBOSE,C6H12O6,
M+Cl,215.0328,0.7,L-SORBOSE+Cl,C6H12O6,
M+FA-H,225.0616,0.7,L-SORBOSE+FA,C6H12O6,
M-H-[-H2O],161.0455,0.7,L-SORBOSE-H2O,C6H12O6,
M+Cl,215.0328,0.7,MANNOSE,C6H12O6,
M+FA-H,225.0616,0.7,MANNOSE,C6H12O6,
M-H,179.0561,0.7,MANNOSE,C6H12O6,
M-H-[-H2O],161.0455,0.7,MANNOSE-H2O,C6H12O6,
M-H,179.0561,0.7,MYO-INOSITOL,C6H12O6,
M+Cl,215.0328,0.7,MYO-INOSITOL+Cl,C6H12O6,
M+FA-H,225.0616,0.7,MYO-INOSITOL+FA,C6H12O6,
M-H-[-H2O],161.0455,0.7,MYO-INOSITOL-H2O,C6H12O6,
M+Cl,223.1219,0.7,"NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE+Cl",C9H20N2O2,
M+FA-H,233.1507,0.7,"NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE+FA",C9H20N2O2,
M-H,184.0016,0.7,O-PHOSPHO-DL-SERINE,C3H8NO6P,
M+Na-2H,205.9836,0.7,O-PHOSPHO-DL-SERINE+Na,C3H8NO6P,
M-H,184.0016,0.7,O-PHOSPHO-L-SERINE,C3H8NO6P,
M+Na-2H,205.9836,0.7,O-PHOSPHO-L-SERINE+Na,C3H8NO6P,
M-H-[-H2O],165.9911,0.7,O-PHOSPHO-L-SERINE-H2O,C3H8NO6P,
,122.9757,0.7,SULFOACETALDEHYDE,C2H4O4S,
M-H,225.0993,0.71,CARNOSINE,C9H14N4O3,
M-H,132.0302,0.71,D-ASPARTATE,C4H7NO4,
M+Na-2H,154.0122,0.71,D-ASPARTATE+Na,C4H7NO4,
M-H-[-H2O],114.0197,0.71,D-ASPARTATE-H2O,C4H7NO4,
M-H,258.0289,0.71,D-GLUCOSAMINE 6-SULFATE,C6H13NO8S,
,257.0063,0.71,GLUCOSE 1-PHOSPHATE,C6H13O9P,
,154.0622,0.71,L-HISTIDINE,C6H9N3O2,
M-H,124.0074,0.71,TAURINE,C2H7NO3S,
M-H,177.0339,0.72,CYS-GLY,C5H10N2O3S,
M+Na-2H,199.0159,0.72,CYS-GLY+Na,C5H10N2O3S,
M-H,259.0224,0.72,D-FRUCTOSE 6-PHOSPHATE,C6H13O9P,
M-H-[-H2O],241.0119,0.72,D-FRUCTOSE 6-PHOSPHATE-H2O,C6H13O9P,
3M-H,179.0561,0.72,GLYCOLALDEHYDE DIMER,C2H4O2,
M+K-2H,96.9697,0.72,GLYCOLALDEHYDE DIMER,C2H4O2,
M-H,118.051,0.72,HOMOSERINE,C4H9NO3,
M-H-[-H2O],100.0404,0.72,HOMOSERINE-H2O,C4H9NO3,
M-H,132.0302,0.72,L-ASPARTATE,C4H7NO4,
M+Na-2H,154.0122,0.72,L-ASPARTATE+Na,C4H7NO4,
M-H-[-H2O],114.0197,0.72,L-ASPARTATE-H2O,C4H7NO4,
M-H,167.9972,0.72,L-CYSTEIC ACID,C3H7NO5S,
M+Na-2H,189.9792,0.72,L-CYSTEIC ACID+Na,C3H7NO5S,
M-H,152.0023,0.73,3-SULFINO-L-ALANINE,C3H7NO4S,
M+Na-2H,173.9842,0.73,3-SULFINO-L-ALANINE+Na,C3H7NO4S,
M-H,130.051,0.73,4-HYDROXY-L-PROLINE,C5H9NO3,
M+Cl,166.0276,0.73,4-HYDROXY-L-PROLINE+Cl,C5H9NO3,
M-H,259.0224,0.73,ALPHA-D-GALACTOSE 1-PHOSPHATE,C6H13O9P,
M-H-[-H2O],241.0119,0.73,ALPHA-D-GALACTOSE 1-PHOSPHATE-H2O,C6H13O9P,
M+Cl,166.0276,0.73,CIS-4-HYDROXY-D-PROLINE,C5H9NO3,
M-H,130.051,0.73,CIS-4-HYDROXY-D-PROLINE,C5H9NO3,
M-H,179.0561,0.73,D-GALACTOSE,C6H12O6,
M+Cl,215.0328,0.73,D-GALACTOSE+Cl,C6H12O6,
M+FA-H,225.0616,0.73,D-GALACTOSE+FA,C6H12O6,
M-2H,89.0244,0.73,D-GALACTOSE2-,C6H12O6,
M-H-[-H2O],161.0455,0.73,D-GALACTOSE-H2O,C6H12O6,
,185.0757,0.73,D-GLUCOSE-13C6,HO*CH2(*CHOH)4*CHO,
,221.0524,0.73,D-GLUCOSE-13C6,HO*CH2(*CHOH)4*CHO,
M-H,193.0354,0.73,D-GLUCURONIC ACID,C6H10O7,
M+Cl,229.0121,0.73,D-GLUCURONIC ACID+Cl,C6H10O7,
M-H-[-H2O],175.0248,0.73,D-GLUCURONIC ACID-H2O,C6H10O7,
M-H,193.0354,0.73,D-GLUCURONOLACTONE,C6H10O7,
M+Cl,229.0121,0.73,D-GLUCURONOLACTONE+Cl,C6H10O7,
M-H-[-H2O],175.0248,0.73,D-GLUCURONOLACTONE-H2O,C6H10O7,
M-H,259.0224,0.73,D-MANNOSE 6-PHOSPHATE,C6H13O9P,
M-H-[-H2O],241.0119,0.73,D-MANNOSE 6-PHOSPHATE,C6H13O9P,
M-H,179.0561,0.73,D-TAGATOSE,C6H12O6,
M+Cl,215.0328,0.73,D-TAGATOSE+Cl,C6H12O6,
M+FA-H,225.0616,0.73,D-TAGATOSE+FA,C6H12O6,
M-H-[-H2O],161.0455,0.73,D-TAGATOSE-H2O,C6H12O6,
M-H,181.0718,0.73,GALACTITOL,C6H14O6,
M+Cl,217.0484,0.73,GALACTITOL+Cl,C6H14O6,
M+FA-H,227.0772,0.73,GALACTITOL+FA,C6H14O6,
M-H,179.0561,0.73,GLUCOSE/FRUCTOSE ,C6H12O6,
M+Cl,215.0328,0.73,GLUCOSE/FRUCTOSE +Cl,C6H12O6,
M+FA-H,225.0616,0.73,GLUCOSE/FRUCTOSE +FA,C6H12O6,
M-2H,89.0244,0.73,GLUCOSE/FRUCTOSE 2-,C6H12O6,
M-H-[-H2O],161.0455,0.73,GLUCOSE/FRUCTOSE-H2O,C6H12O6,
M-H,118.051,0.73,L-ALLOTHREONINE,C4H9NO3,
M-H,145.0619,0.73,L-GLUTAMINE,C5H10N2O3,
M+Cl,181.0385,0.73,L-GLUTAMINE+Cl,C5H10N2O3,
M-H-[-H2O],127.0513,0.73,L-GLUTAMINE-H2O,C5H10N2O3,
,130.051,0.73,TRANS-4-HYDROXY-L_PROLINE,C5H9NO3,
M+Na-2H,197.0068,0.74,ASCORBATE+Na,C6H8O6,
M-H,131.0462,0.74,ASPARAGINE,C4H8N2O3,
M-H,149.0455,0.74,D-ARABINOSE,C5H10O5,
M+Cl,185.0222,0.74,D-ARABINOSE+Cl,C5H10O5,
M+FA-H,195.051,0.74,D-ARABINOSE+FA,C5H10O5,
M-H-[-H2O],131.035,0.74,D-ARABINOSE-H2O,C5H10O5,
M-H-[-H2O],241.0119,0.74,D-GLUCOSE 6-PHOSPHATE-H2O,C6H13O9P,
M-H,195.051,0.74,D-GULONIC ACID GAMA-LACTONE,C6H12O7,
M-H-[-H2O],177.0405,0.74,D-GULONIC ACID GAMA-LACTONE-H2O,C6H12O7,
M-H,181.0718,0.74,D-SORBITOL,C6H14O6,
M+Cl,217.0484,0.74,D-SORBITOL+Cl,C6H14O6,
M+FA-H,227.0772,0.74,D-SORBITOL+FA,C6H14O6,
M-H,149.0455,0.74,D-XYLOSE,C5H10O5,
M+Cl,185.0222,0.74,D-XYLOSE+Cl,C5H10O5,
M+FA-H,195.051,0.74,D-XYLOSE+FA,C5H10O5,
M-H-[-H2O],131.035,0.74,D-XYLOSE-H2O,C5H10O5,
M-H,209.0303,0.74,GALACTARATE,C6H10O8,
M+Na-2H,231.0122,0.74,GALACTARATE+Na,C6H10O8,
M+FA-H,135.0299,0.74,GLYCERALDEHYDE+FA,C3H6O3,
M-H,118.051,0.74,L-THREONINE,C4H9NO3,
M-H,181.0718,0.74,MANNITOL,C6H14O6,
,181.0717,0.74,MANNITOL/SORBITOL,C6H14O6,
M+Cl,217.0484,0.74,MANNITOL+Cl,C6H14O6,
M+FA-H,227.0772,0.74,MANNITOL+FA,C6H14O6,
M-H,130.051,0.74,TRANS-4-HYDROXYPROLINE,C5H9NO3,
M+Cl,166.0276,0.74,TRANS-4-HYDROXYPROLINE+Cl,C5H9NO3,
M-H,275.0174,0.75,6-PHOSPHOGLUCONIC ACID,C6H13O10P,
M-H,149.0455,0.75,ARABINOSE,C5H10O5,
M+Cl,185.0222,0.75,ARABINOSE+Cl,C5H10O5,
M+FA-H,195.051,0.75,ARABINOSE+FA,C5H10O5,
M-H-[-H2O],131.035,0.75,ARABINOSE-H2O,C5H10O5,
M-H,179.0561,0.75,D-PSICOSE,C6H12O6,
M+Cl,215.0328,0.75,D-PSICOSE+Cl,C6H12O6,
M+FA-H,225.0616,0.75,D-PSICOSE+FA,C6H12O6,
M-H-[-H2O],161.0455,0.75,D-PSICOSE-H2O,C6H12O6,
M-H,195.051,0.75,GLUCONIC ACID,C6H12O7,
,195.051,0.75,GLUCONIC ACID/D-GULONIC ACID GAMA-LACTONE,C6H12O7,
,217.0293,0.75,GLUCOSE+Cl,C6H12O6,
M-H,151.0612,0.75,L-ARABITOL,C5H12O5,
M+Cl,187.0379,0.75,L-ARABITOL+Cl,C5H12O5,
M+FA-H,197.0667,0.75,L-ARABITOL+FA,C5H12O5,
M-H,146.0459,0.75,L-GLUTAMIC ACID,C5H9NO4,
M+Na-2H,168.0278,0.75,L-GLUTAMIC ACID+Na,C5H9NO4,
M-H-[-H2O],128.0353,0.75,L-GLUTAMIC ACID-H2O,C5H9NO4,
M+Na-2H,138.9649,0.75,MESOXALATE+Na,C3H2O5,
M-H,138.9802,0.75,PHOSPHONOACETATE,C2H5O5P,
M-H-[-H2O],120.9696,0.75,PHOSPHONOACETATE-H2O,C2H5O5P,
M-H,151.0612,0.75,RIBITOL,C5H12O5,
M+Cl,187.0379,0.75,RIBITOL+Cl,C5H12O5,
M+FA-H,197.0667,0.75,RIBITOL+FA,C5H12O5,
M+Cl,202.9977,0.75,URATE+Cl,C5H4N4O3,
M-H,151.0612,0.75,XYLITOL,C5H12O5,
M+Cl,187.0379,0.75,XYLITOL+Cl,C5H12O5,
M+FA-H,197.0667,0.75,XYLITOL+FA,C5H12O5,
M-H,132.0302,0.76,ASPARTATE,C4H7NO4,
M+FA-H,179.0561,0.76,DEOXYRIBOSE+FA,C5H10O4,
M-H,193.0354,0.76,D-GALACTURONIC ACID,C6H10O7,
M-H-[-H2O],175.0248,0.76,D-GALACTURONIC ACID-H2O,C6H10O7,18.0106
M-H,195.051,0.76,D-GLUCONATE,C6H12O7,
M-H-[-H2O],177.0405,0.76,D-GLUCONATE-H2O,C6H12O7,
M+Cl,157.0273,0.76,ERYTHRITOL+Cl,C4H10O4,
M+FA-H,167.0561,0.76,ERYTHRITOL+FA,C4H10O4,
M-H,239.115,0.76,L-ANSERINE,C10H16N4O3,
M+Cl,275.0916,0.76,L-ANSERINE+Cl,C10H16N4O3,
M-2H,119.0538,0.76,L-ANSERINE2-,C10H16N4O3,
M-H,146.0459,0.76,N-METHYL-D-ASPARTIC ACID,C5H9NO4,
M+Na-2H,168.0278,0.76,N-METHYL-D-ASPARTIC ACID+Na,C5H9NO4,
M-H-[-H2O],128.0353,0.76,N-METHYL-D-ASPARTIC ACID-H2O,C5H9NO4,
,88.0404,0.76,SARCOSINE/BETA-ALANINE,C3H7NO2,
,130.051,0.77,4-HYDROXYPROLINE,C5H9NO3,
M-H,151.0612,0.77,C5-SUGAR ALCOHOL,C5H12O5,
M-H,195.051,0.77,"D-GLUCONO-1,5-LACTONE",C6H12O7,
M-H,341.1089,0.77,D-LACTOSE,C12H22O11,
M+Cl,377.0856,0.77,D-LACTOSE+Cl,C12H22O11,
M+FA-H,387.1144,0.77,D-LACTOSE+FA,C12H22O11,
M-H,149.0455,0.77,D-LYXOSE,C5H10O5,
M+Cl,185.0222,0.77,D-LYXOSE+Cl,C5H10O5,
M+FA-H,195.051,0.77,D-LYXOSE+FA,C5H10O5,
M-H-[-H2O],131.035,0.77,D-LYXOSE-H2O,C5H10O5,
M-H,149.0455,0.77,D-RIBOSE,C5H10O5,
M+Cl,185.0222,0.77,D-RIBOSE+Cl,C5H10O5,
M+FA-H,195.051,0.77,D-RIBOSE+FA,C5H10O5,
M-H-[-H2O],131.035,0.77,D-RIBOSE-H2O,C5H10O5,
M-H,209.0303,0.77,D-SACCHARIC ACID,C6H10O8,
M+Na-2H,231.0122,0.77,D-SACCHARIC ACID+Na,C6H10O8,
M-H-[-H2O],191.0197,0.77,D-SACCHARIC ACID-H2O,C6H10O8,
,181.0718,0.77,HEXOSE ALCOHOL,C6H14O6,
M-H,341.1089,0.77,MELIBIOSE,C12H22O11,
M+FA-H,387.1144,0.77,MELIBIOSE+FA,C12H22O11,
M-H,220.0827,0.77,N-ACETYL-D-GALACTOSAMINE,C8H15NO6,
M+Cl,256.0593,0.77,N-ACETYL-D-GALACTOSAMINE+Cl,C8H15NO6,
M+FA-H,266.0881,0.77,N-ACETYL-D-GALACTOSAMINE+FA,C8H15NO6,
M-H,167.0826,0.77,PYRIDOXAMINE,C8H12N2O2,
M+Cl,203.0593,0.77,PYRIDOXAMINE+Cl,C8H12N2O2,
M+FA-H,213.0881,0.77,PYRIDOXAMINE+FA,C8H12N2O2,
M+Cl,292.0722,0.77,SN-GLYCERO-3-PHOSPHOCHOLINE+Cl,C8H20NO6P,
M+FA-H,302.101,0.77,SN-GLYCERO-3-PHOSPHOCHOLINE+FA,C8H20NO6P,
M-H,341.1089,0.77,SUCROSE,C12H22O11,
M+FA-H,387.1144,0.77,SUCROSE+FA,C12H22O11,
,118.051,0.77,THREONINE/HOMOSERINE,C4H9NO3,
